Date,Estimated_PPF(umol/m^2*s^1)
2021-01-01,525.6666666666666
2021-01-02,528.1111111111111
2021-01-03,531.1111111111111
2021-01-04,534.0
2021-01-05,537.4444444444445
2021-01-06,540.8888888888889
2021-01-07,544.6666666666666
2021-01-08,548.5555555555555
2021-01-09,497.5
2021-01-10,501.6
2021-01-11,505.8
2021-01-12,510.2
2021-01-13,514.9
2021-01-14,519.8
2021-01-15,524.7
2021-01-16,530.1
2021-01-17,535.8
2021-01-18,541.5
2021-01-19,547.6
2021-01-20,553.9
2021-01-21,560.4
2021-01-22,567.0
2021-01-23,573.9
2021-01-24,581.2
2021-01-25,586.5
2021-01-26,594.0
2021-01-27,601.8
2021-01-28,609.8
2021-01-29,617.5
2021-01-30,625.6
2021-01-31,633.8
2021-02-01,642.4
2021-02-02,651.1
2021-02-03,659.6
2021-02-04,668.6
2021-02-05,677.5
2021-02-06,684.7
2021-02-07,694.1
2021-02-08,703.8
2021-02-09,713.6
2021-02-10,723.5
2021-02-11,730.9
2021-02-12,741.2
2021-02-13,751.6
2021-02-14,762.0
2021-02-15,769.7
2021-02-16,779.9
2021-02-17,790.6
2021-02-18,798.0
2021-02-19,808.8
2021-02-20,819.2
2021-02-21,752.1818181818181
2021-02-22,762.0
2021-02-23,769.2727272727273
2021-02-24,779.3636363636364
2021-02-25,786.6363636363636
2021-02-26,796.6363636363636
2021-02-27,806.8181818181819
2021-02-28,814.0909090909091
2021-03-01,824.0
2021-03-02,831.3636363636364
2021-03-03,841.6363636363636
2021-03-04,848.6363636363636
2021-03-05,858.9090909090909
2021-03-06,866.1818181818181
2021-03-07,803.6666666666666
2021-03-08,810.3333333333334
2021-03-09,820.0
2021-03-10,826.3333333333334
2021-03-11,836.0833333333334
2021-03-12,846.0
2021-03-13,852.4166666666666
2021-03-14,862.3333333333334
2021-03-15,868.5
2021-03-16,878.6666666666666
2021-03-17,888.5
2021-03-18,895.0
2021-03-19,904.8333333333334
2021-03-20,911.0833333333334
2021-03-21,920.8333333333334
2021-03-22,930.4166666666666
2021-03-23,936.5
2021-03-24,946.25
2021-03-25,955.6666666666666
2021-03-26,961.5833333333334
2021-03-27,970.5
2021-03-28,979.75
2021-03-29,988.75
2021-03-30,993.8333333333334
2021-03-31,1002.75
2021-04-01,1011.5833333333334
2021-04-02,1020.25
2021-04-03,1024.9166666666667
2021-04-04,1033.3333333333333
2021-04-05,1042.0833333333333
2021-04-06,1050.25
2021-04-07,1054.4166666666667
2021-04-08,1062.5833333333333
2021-04-09,1070.5833333333333
2021-04-10,1078.4166666666667
2021-04-11,1002.9230769230769
2021-04-12,1006.2307692307693
2021-04-13,1013.6153846153846
2021-04-14,1020.5384615384615
2021-04-15,954.2857142857143
2021-04-16,960.9285714285714
2021-04-17,963.7857142857143
2021-04-18,970.0714285714286
2021-04-19,976.2857142857143
2021-04-20,982.6428571428571
2021-04-21,985.0
2021-04-22,990.9285714285714
2021-04-23,997.1428571428571
2021-04-24,1003.0
2021-04-25,1005.0
2021-04-26,1010.7857142857143
2021-04-27,1016.6428571428571
2021-04-28,1022.4285714285714
2021-04-29,1024.142857142857
2021-04-30,1029.5
2021-05-01,1035.0714285714287
2021-05-02,1036.142857142857
2021-05-03,1041.5
2021-05-04,1046.642857142857
2021-05-05,1051.9285714285713
2021-05-06,1052.5714285714287
2021-05-07,1057.357142857143
2021-05-08,1062.4285714285713
2021-05-09,1062.642857142857
2021-05-10,1067.2857142857142
2021-05-11,1071.5714285714287
2021-05-12,1075.7857142857142
2021-05-13,1075.5714285714287
2021-05-14,1079.642857142857
2021-05-15,1083.642857142857
2021-05-16,1083.0
2021-05-17,1086.5714285714287
2021-05-18,1090.4285714285713
2021-05-19,1093.9285714285713
2021-05-20,1092.7142857142858
2021-05-21,1096.142857142857
2021-05-22,1099.142857142857
2021-05-23,1097.642857142857
2021-05-24,1100.642857142857
2021-05-25,1103.5714285714287
2021-05-26,1106.4285714285713
2021-05-27,1104.357142857143
2021-05-28,1106.857142857143
2021-05-29,1109.2142857142858
2021-05-30,1111.4285714285713
2021-05-31,1108.857142857143
2021-06-01,1111.0
2021-06-02,1112.857142857143
2021-06-03,1110.0714285714287
2021-06-04,1037.5333333333333
2021-06-05,1039.1333333333334
2021-06-06,1040.7333333333333
2021-06-07,1037.5333333333333
2021-06-08,1038.9333333333334
2021-06-09,1040.0
2021-06-10,1041.2
2021-06-11,1037.4666666666667
2021-06-12,1038.3333333333333
2021-06-13,1039.2
2021-06-14,1035.2666666666667
2021-06-15,1036.0666666666666
2021-06-16,1036.3333333333333
2021-06-17,1032.2
2021-06-18,1032.5333333333333
2021-06-19,1032.6666666666667
2021-06-20,1028.3333333333333
2021-06-21,1028.3333333333333
2021-06-22,1028.2666666666667
2021-06-23,1023.4666666666667
2021-06-24,1023.2
2021-06-25,1022.8666666666667
2021-06-26,954.3125
2021-06-27,953.8125
2021-06-28,1016.8666666666667
2021-06-29,1011.5333333333333
2021-06-30,1010.7333333333333
2021-07-01,1009.9333333333333
2021-07-02,1076.142857142857
2021-07-03,1075.0714285714287
2021-07-04,1073.857142857143
2021-07-05,1067.642857142857
2021-07-06,1066.2142857142858
2021-07-07,1064.7857142857142
2021-07-08,1058.4285714285713
2021-07-09,1056.9285714285713
2021-07-10,1054.9285714285713
2021-07-11,1053.0
2021-07-12,1046.2142857142858
2021-07-13,1044.0714285714287
2021-07-14,1042.0714285714287
2021-07-15,1039.7142857142858
2021-07-16,1032.2857142857142
2021-07-17,1029.7142857142858
2021-07-18,1027.2142857142858
2021-07-19,1024.5
2021-07-20,1021.8571428571429
2021-07-21,1019.0
2021-07-22,1016.1428571428571
2021-07-23,1012.8571428571429
2021-07-24,1009.7857142857143
2021-07-25,1001.6428571428571
2021-07-26,998.5
2021-07-27,994.9285714285714
2021-07-28,991.4285714285714
2021-07-29,987.7857142857143
2021-07-30,984.2142857142857
2021-07-31,985.2142857142857
2021-08-01,981.5
2021-08-02,977.6428571428571
2021-08-03,973.4285714285714
2021-08-04,969.3571428571429
2021-08-05,965.1428571428571
