Date,Estimated_PPF(umol/m^2*s^1)
2021-01-01,854.0
2021-01-02,857.0
2021-01-03,861.0
2021-01-04,865.0
2021-01-05,869.0
2021-01-06,874.0
2021-01-07,879.0
2021-01-08,884.0
2021-01-09,889.0
2021-01-10,895.0
2021-01-11,901.0
2021-01-12,907.0
2021-01-13,913.0
2021-01-14,920.0
2021-01-15,926.0
2021-01-16,933.0
2021-01-17,941.0
2021-01-18,948.0
2021-01-19,956.0
2021-01-20,964.0
2021-01-21,972.0
2021-01-22,980.0
2021-01-23,989.0
2021-01-24,998.0
2021-01-25,1003.0
2021-01-26,1012.0
2021-01-27,1022.0
2021-01-28,1031.0
2021-01-29,1041.0
2021-01-30,1050.0
2021-01-31,1060.0
2021-02-01,1070.0
2021-02-02,1081.0
2021-02-03,1091.0
2021-02-04,1101.0
2021-02-05,1112.0
2021-02-06,1119.0
2021-02-07,1130.0
2021-02-08,1141.0
2021-02-09,1152.0
2021-02-10,1163.0
2021-02-11,1170.0
2021-02-12,1182.0
2021-02-13,1193.0
2021-02-14,1204.0
2021-02-15,1212.0
2021-02-16,1223.0
2021-02-17,1235.0
2021-02-18,1242.0
2021-02-19,1254.0
2021-02-20,1265.0
2021-02-21,1273.0
2021-02-22,1284.0
2021-02-23,1292.0
2021-02-24,1303.0
2021-02-25,1311.0
2021-02-26,1322.0
2021-02-27,1334.0
2021-02-28,1341.0
2021-03-01,1352.0
2021-03-02,1359.0
2021-03-03,1370.0
2021-03-04,1377.0
2021-03-05,1388.0
2021-03-06,1395.0
2021-03-07,1406.0
2021-03-08,1412.0
2021-03-09,1423.0
2021-03-10,1429.0
2021-03-11,1440.0
2021-03-12,1451.0
2021-03-13,1456.0
2021-03-14,1467.0
2021-03-15,1472.0
2021-03-16,1483.0
2021-03-17,1493.0
2021-03-18,1498.0
2021-03-19,1508.0
2021-03-20,1513.0
2021-03-21,1523.0
2021-03-22,1532.0
2021-03-23,1536.0
2021-03-24,1546.0
2021-03-25,1555.0
2021-03-26,1559.0
2021-03-27,1568.0
2021-03-28,1577.0
2021-03-29,1586.0
2021-03-30,1589.0
2021-03-31,1598.0
2021-04-01,1607.0
2021-04-02,1615.0
2021-04-03,1617.0
2021-04-04,1625.0
2021-04-05,1634.0
2021-04-06,1642.0
2021-04-07,1644.0
2021-04-08,1652.0
2021-04-09,1660.0
2021-04-10,1668.0
2021-04-11,1676.0
2021-04-12,1677.0
2021-04-13,1685.0
2021-04-14,1692.0
2021-04-15,1699.0
2021-04-16,1706.0
2021-04-17,1707.0
2021-04-18,1714.0
2021-04-19,1720.0
2021-04-20,1727.0
2021-04-21,1726.0
2021-04-22,1732.0
2021-04-23,1738.0
2021-04-24,1744.0
2021-04-25,1743.0
2021-04-26,1749.0
2021-04-27,1754.0
2021-04-28,1759.0
2021-04-29,1758.0
2021-04-30,1763.0
2021-05-01,1768.0
2021-05-02,1765.0
2021-05-03,1770.0
2021-05-04,1774.0
2021-05-05,1779.0
2021-05-06,1776.0
2021-05-07,1780.0
2021-05-08,1784.0
2021-05-09,1781.0
2021-05-10,1784.0
2021-05-11,1788.0
2021-05-12,1791.0
2021-05-13,1787.0
2021-05-14,1790.0
2021-05-15,1793.0
2021-05-16,1789.0
2021-05-17,1792.0
2021-05-18,1795.0
2021-05-19,1797.0
2021-05-20,1793.0
2021-05-21,1795.0
2021-05-22,1797.0
2021-05-23,1792.0
2021-05-24,1794.0
2021-05-25,1796.0
2021-05-26,1798.0
2021-05-27,1792.0
2021-05-28,1794.0
2021-05-29,1795.0
2021-05-30,1797.0
2021-05-31,1791.0
2021-06-01,1792.0
2021-06-02,1793.0
2021-06-03,1787.0
2021-06-04,1788.0
2021-06-05,1789.0
2021-06-06,1790.0
2021-06-07,1783.0
2021-06-08,1784.0
2021-06-09,1784.0
2021-06-10,1785.0
2021-06-11,1778.0
2021-06-12,1778.0
2021-06-13,1779.0
2021-06-14,1771.0
2021-06-15,1772.0
2021-06-16,1772.0
2021-06-17,1764.0
2021-06-18,1764.0
2021-06-19,1764.0
2021-06-20,1756.0
2021-06-21,1756.0
2021-06-22,1756.0
2021-06-23,1748.0
2021-06-24,1747.0
2021-06-25,1747.0
2021-06-26,1739.0
2021-06-27,1738.0
2021-06-28,1738.0
2021-06-29,1730.0
2021-06-30,1729.0
2021-07-01,1729.0
2021-07-02,1721.0
2021-07-03,1720.0
2021-07-04,1719.0
2021-07-05,1711.0
2021-07-06,1710.0
2021-07-07,1709.0
2021-07-08,1700.0
2021-07-09,1699.0
2021-07-10,1698.0
2021-07-11,1697.0
2021-07-12,1688.0
2021-07-13,1687.0
2021-07-14,1685.0
2021-07-15,1683.0
2021-07-16,1674.0
2021-07-17,1672.0
2021-07-18,1671.0
2021-07-19,1669.0
2021-07-20,1667.0
2021-07-21,1665.0
2021-07-22,1663.0
2021-07-23,1660.0
2021-07-24,1658.0
2021-07-25,1648.0
2021-07-26,1646.0
2021-07-27,1643.0
2021-07-28,1640.0
2021-07-29,1637.0
2021-07-30,1634.0
2021-07-31,1639.0
2021-08-01,1636.0
2021-08-02,1633.0
2021-08-03,1629.0
2021-08-04,1626.0
2021-08-05,1622.0
2021-08-06,1619.0
2021-08-07,1615.0
2021-08-08,1611.0
2021-08-09,1614.0
2021-08-10,1610.0
2021-08-11,1606.0
2021-08-12,1602.0
2021-08-13,1597.0
2021-08-14,1600.0
2021-08-15,1595.0
2021-08-16,1590.0
2021-08-17,1585.0
2021-08-18,1587.0
2021-08-19,1582.0
2021-08-20,1577.0
2021-08-21,1571.0
2021-08-22,1573.0
2021-08-23,1567.0
2021-08-24,1562.0
2021-08-25,1563.0
2021-08-26,1558.0
2021-08-27,1552.0
2021-08-28,1546.0
2021-08-29,1547.0
2021-08-30,1541.0
2021-08-31,1542.0
2021-09-01,1535.0
2021-09-02,1529.0
2021-09-03,1529.0
2021-09-04,1522.0
2021-09-05,1515.0
2021-09-06,1515.0
2021-09-07,1508.0
2021-09-08,1508.0
2021-09-09,1500.0
2021-09-10,1493.0
2021-09-11,1492.0
2021-09-12,1484.0
2021-09-13,1483.0
2021-09-14,1475.0
2021-09-15,1467.0
2021-09-16,1465.0
2021-09-17,1457.0
2021-09-18,1454.0
2021-09-19,1446.0
2021-09-20,1444.0
2021-09-21,1435.0
2021-09-22,1426.0
2021-09-23,1423.0
2021-09-24,1414.0
2021-09-25,1411.0
2021-09-26,1402.0
2021-09-27,1392.0
2021-09-28,1389.0
2021-09-29,1379.0
2021-09-30,1375.0
2021-10-01,1366.0
2021-10-02,1361.0
2021-10-03,1351.0
2021-10-04,1341.0
2021-10-05,1337.0
2021-10-06,1327.0
2021-10-07,1322.0
2021-10-08,1312.0
2021-10-09,1302.0
2021-10-10,1297.0
2021-10-11,1286.0
2021-10-12,1276.0
2021-10-13,1270.0
2021-10-14,1260.0
2021-10-15,1254.0
2021-10-16,1244.0
2021-10-17,1233.0
2021-10-18,1227.0
2021-10-19,1217.0
2021-10-20,1206.0
2021-10-21,1200.0
2021-10-22,1190.0
2021-10-23,1179.0
2021-10-24,1173.0
2021-10-25,1162.0
2021-10-26,1156.0
2021-10-27,1146.0
2021-10-28,1135.0
2021-10-29,1129.0
2021-10-30,1119.0
2021-10-31,1108.0
2021-11-01,1102.0
2021-11-02,1092.0
2021-11-03,1086.0
2021-11-04,1076.0
2021-11-05,1070.0
2021-11-06,1060.0
2021-11-07,1050.0
2021-11-08,1044.0
2021-11-09,1034.0
2021-11-10,1029.0
2021-11-11,1019.0
2021-11-12,1013.0
2021-11-13,1004.0
2021-11-14,999.0
2021-11-15,990.0
2021-11-16,985.0
2021-11-17,976.0
2021-11-18,971.0
2021-11-19,963.0
2021-11-20,958.0
2021-11-21,950.0
2021-11-22,945.0
2021-11-23,937.0
2021-11-24,933.0
2021-11-25,926.0
2021-11-26,922.0
2021-11-27,915.0
2021-11-28,912.0
2021-11-29,905.0
2021-11-30,899.0
2021-12-01,896.0
2021-12-02,890.0
2021-12-03,887.0
2021-12-04,882.0
2021-12-05,877.0
2021-12-06,875.0
2021-12-07,870.0
2021-12-08,866.0
2021-12-09,864.0
2021-12-10,860.0
2021-12-11,857.0
2021-12-12,856.0
2021-12-13,853.0
2021-12-14,850.0
2021-12-15,848.0
2021-12-16,845.0
2021-12-17,846.0
2021-12-18,844.0
2021-12-19,843.0
2021-12-20,842.0
2021-12-21,841.0
2021-12-22,840.0
2021-12-23,840.0
2021-12-24,840.0
2021-12-25,840.0
2021-12-26,843.0
2021-12-27,844.0
2021-12-28,845.0
2021-12-29,847.0
2021-12-30,848.0
2021-12-31,850.0
