Date,Estimated_PPF(umol/m^2*s^1)
2021-01-01,918.0
2021-01-02,921.0
2021-01-03,925.0
2021-01-04,930.0
2021-01-05,934.0
2021-01-06,939.0
2021-01-07,944.0
2021-01-08,949.0
2021-01-09,955.0
2021-01-10,961.0
2021-01-11,967.0
2021-01-12,973.0
2021-01-13,979.0
2021-01-14,986.0
2021-01-15,993.0
2021-01-16,1001.0
2021-01-17,1005.0
2021-01-18,1013.0
2021-01-19,1021.0
2021-01-20,1029.0
2021-01-21,1037.0
2021-01-22,1046.0
2021-01-23,1055.0
2021-01-24,1063.0
2021-01-25,1073.0
2021-01-26,1082.0
2021-01-27,1092.0
2021-01-28,1102.0
2021-01-29,1112.0
2021-01-30,1122.0
2021-01-31,1132.0
2021-02-01,1142.0
2021-02-02,1152.0
2021-02-03,1163.0
2021-02-04,1174.0
2021-02-05,1181.0
2021-02-06,1192.0
2021-02-07,1203.0
2021-02-08,1214.0
2021-02-09,1225.0
2021-02-10,1237.0
2021-02-11,1245.0
2021-02-12,1256.0
2021-02-13,1267.0
2021-02-14,1280.0
2021-02-15,1288.0
2021-02-16,1300.0
2021-02-17,1312.0
2021-02-18,1325.0
2021-02-19,1334.0
2021-02-20,1346.0
2021-02-21,1359.0
2021-02-22,1371.0
2021-02-23,1380.0
2021-02-24,1393.0
2021-02-25,1406.0
2021-02-26,1418.0
2021-02-27,1431.0
2021-02-28,1439.0
2021-03-01,1452.0
2021-03-02,1464.0
2021-03-03,1476.0
2021-03-04,1488.0
2021-03-05,1496.0
2021-03-06,1507.0
2021-03-07,1519.0
2021-03-08,1531.0
2021-03-09,1543.0
2021-03-10,1554.0
2021-03-11,1561.0
2021-03-12,1573.0
2021-03-13,1585.0
2021-03-14,1596.0
2021-03-15,1604.0
2021-03-16,1614.0
2021-03-17,1626.0
2021-03-18,1637.0
2021-03-19,1648.0
2021-03-20,1659.0
2021-03-21,1668.0
2021-03-22,1679.0
2021-03-23,1689.0
2021-03-24,1700.0
2021-03-25,1710.0
2021-03-26,1716.0
2021-03-27,1725.0
2021-03-28,1735.0
2021-03-29,1745.0
2021-03-30,1754.0
2021-03-31,1763.0
2021-04-01,1771.0
2021-04-02,1780.0
2021-04-03,1790.0
2021-04-04,1799.0
2021-04-05,1805.0
2021-04-06,1816.0
2021-04-07,1822.0
2021-04-08,1830.0
2021-04-09,1838.0
2021-04-10,1847.0
2021-04-11,1850.0
2021-04-12,1858.0
2021-04-13,1866.0
2021-04-14,1874.0
2021-04-15,1881.0
2021-04-16,1888.0
2021-04-17,1896.0
2021-04-18,1898.0
2021-04-19,1905.0
2021-04-20,1911.0
2021-04-21,1916.0
2021-04-22,1922.0
2021-04-23,1927.0
2021-04-24,1933.0
2021-04-25,1939.0
2021-04-26,1945.0
2021-04-27,1951.0
2021-04-28,1952.0
2021-04-29,1958.0
2021-04-30,1964.0
2021-05-01,1969.0
2021-05-02,1975.0
2021-05-03,1980.0
2021-05-04,1980.0
2021-05-05,1985.0
2021-05-06,1990.0
2021-05-07,1996.0
2021-05-08,1995.0
2021-05-09,2000.0
2021-05-10,2004.0
2021-05-11,2009.0
2021-05-12,2008.0
2021-05-13,2012.0
2021-05-14,2014.0
2021-05-15,2017.0
2021-05-16,2016.0
2021-05-17,2019.0
2021-05-18,2022.0
2021-05-19,2020.0
2021-05-20,2024.0
2021-05-21,2026.0
2021-05-22,2029.0
2021-05-23,2030.0
2021-05-24,2028.0
2021-05-25,2030.0
2021-05-26,2032.0
2021-05-27,2033.0
2021-05-28,2034.0
2021-05-29,2037.0
2021-05-30,2039.0
2021-05-31,2040.0
2021-06-01,2036.0
2021-06-02,2037.0
2021-06-03,2038.0
2021-06-04,2039.0
2021-06-05,2040.0
2021-06-06,2040.0
2021-06-07,2043.0
2021-06-08,2045.0
2021-06-09,2041.0
2021-06-10,2042.0
2021-06-11,2044.0
2021-06-12,2046.0
2021-06-13,2048.0
2021-06-14,2046.0
2021-06-15,2046.0
2021-06-16,2049.0
2021-06-17,2046.0
2021-06-18,2048.0
2021-06-19,2047.0
2021-06-20,2045.0
2021-06-21,2047.0
2021-06-22,2048.0
2021-06-23,2044.0
2021-06-24,2044.0
2021-06-25,2045.0
2021-06-26,2040.0
2021-06-27,2041.0
2021-06-28,2041.0
2021-06-29,2041.0
2021-06-30,2041.0
2021-07-01,2040.0
2021-07-02,2034.0
2021-07-03,2032.0
2021-07-04,2032.0
2021-07-05,2030.0
2021-07-06,2030.0
2021-07-07,2028.0
2021-07-08,2027.0
2021-07-09,2026.0
2021-07-10,2024.0
2021-07-11,2018.0
2021-07-12,2016.0
2021-07-13,2014.0
2021-07-14,2013.0
2021-07-15,2010.0
2021-07-16,2007.0
2021-07-17,2005.0
2021-07-18,2002.0
2021-07-19,2000.0
2021-07-20,1998.0
2021-07-21,1995.0
2021-07-22,1992.0
2021-07-23,1989.0
2021-07-24,1986.0
2021-07-25,1982.0
2021-07-26,1978.0
2021-07-27,1974.0
2021-07-28,1970.0
2021-07-29,1968.0
2021-07-30,1966.0
2021-07-31,1964.0
2021-08-01,1961.0
2021-08-02,1958.0
2021-08-03,1955.0
2021-08-04,1951.0
2021-08-05,1947.0
2021-08-06,1944.0
2021-08-07,1939.0
2021-08-08,1940.0
2021-08-09,1935.0
2021-08-10,1931.0
2021-08-11,1927.0
2021-08-12,1922.0
2021-08-13,1916.0
2021-08-14,1911.0
2021-08-15,1904.0
