"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DLY-DUTR-NORMAL","DLY-DUTR-STDDEV","DLY-PRCP-25PCTL","DLY-PRCP-50PCTL","DLY-PRCP-75PCTL","DLY-PRCP-PCTALL-GE001HI","DLY-PRCP-PCTALL-GE010HI","DLY-PRCP-PCTALL-GE050HI","DLY-PRCP-PCTALL-GE100HI","DLY-SNOW-25PCTL","DLY-SNOW-50PCTL","DLY-SNOW-75PCTL","DLY-SNOW-PCTALL-GE001TI","DLY-SNOW-PCTALL-GE010TI","DLY-SNOW-PCTALL-GE030TI","DLY-SNOW-PCTALL-GE050TI","DLY-SNOW-PCTALL-GE100TI","DLY-SNWD-25PCTL","DLY-SNWD-50PCTL","DLY-SNWD-75PCTL","DLY-SNWD-PCTALL-GE001WI","DLY-SNWD-PCTALL-GE003WI","DLY-SNWD-PCTALL-GE005WI","DLY-SNWD-PCTALL-GE010WI","DLY-TAVG-NORMAL","DLY-TAVG-STDDEV","DLY-TMAX-NORMAL","DLY-TMAX-STDDEV","DLY-TMIN-NORMAL","DLY-TMIN-STDDEV","MTD-PRCP-NORMAL","MTD-SNOW-NORMAL","YTD-PRCP-NORMAL","YTD-SNOW-NORMAL"
"USC00425182","LOGAN RADIO KVNU, UT US","41.735","-111.8564","1364.0","01-01","18.0","7.2","0.03","0.08","0.21","32.0","147","21","2","1.0","1.0","2.5","190","154","44","16","2",,,,,,,,"22.1","11.1","31.1","11.0","13.1","12.4","0.05","0.4","0.05","0.4"
"USC00425182","LOGAN RADIO KVNU, UT US","41.735","-111.8564","1364.0","01-02","18.0","7.2","0.03","0.08","0.21","32.0","147","21","2","1.0","1.0","2.4","191","155","43","15","3",,,,,,,,"22.1","11.1","31.1","11.0","13.1","12.4","0.10","0.8","0.10","0.8"
"USC00425182","LOGAN RADIO KVNU, UT US","41.735","-111.8564","1364.0","01-03","18.0","7.2","0.03","0.08","0.20","32.0","146","21","2","1.0","1.0","2.4","192","155","43","16","3",,,,,,,,"22.1","11.2","31.0","11.0","13.1","12.5","0.16","1.2","0.16","1.2"
"USC00425182","LOGAN RADIO KVNU, UT US","41.735","-111.8564","1364.0","01-04","17.9","7.2","0.03","0.08","0.20","32.0","146","20","3","1.0","1.0","2.4","192","155","43","16","3",,,,,,,,"22.0","11.2","31.0","11.0","13.1","12.5","0.21","1.6","0.21","1.6"
"USC00425182","LOGAN RADIO KVNU, UT US","41.735","-111.8564","1364.0","01-05","17.9","7.1","0.03","0.08","0.20","32.0","145","20","3","1.0","1.0","2.3","194","156","43","16","3",,,,,,,,"22.0","11.2","31.0","11.0","13.0","12.6","0.26","2.0","0.26","2.0"
"USC00425182","LOGAN RADIO KVNU, UT US","41.735","-111.8564","1364.0","01-06","17.9","7.1","0.03","0.08","0.20","31.9","145","20","3","1.0","1.0","2.3","194","156","43","16","3",,,,,,,,"22.0","11.3","30.9","11.0","13.0","12.6","0.31","2.4","0.31","2.4"
"USC00425182","LOGAN RADIO KVNU, UT US","41.735","-111.8564","1364.0","01-07","17.9","7.1","0.03","0.08","0.19","31.9","144","20","3","1.0","1.0","2.3","194","156","43","16","4",,,,,,,,"21.9","11.3","30.9","11.1","13.0","12.6","0.36","2.8","0.36","2.8"
"USC00425182","LOGAN RADIO KVNU, UT US","41.735","-111.8564","1364.0","01-08","17.9","7.1","0.03","0.08","0.19","31.8","144","20","3","1.0","1.0","2.2","194","156","43","17","4",,,,,,,,"21.9","11.3","30.8","11.1","12.9","12.6","0.41","3.2","0.41","3.2"
"USC00425182","LOGAN RADIO KVNU, UT US","41.735","-111.8564","1364.0","01-09","17.9","7.1","0.03","0.08","0.19","31.7","143","19","4","1.0","1.0","2.2","194","155","43","17","4",,,,,,,,"21.9","11.3","30.8","11.0","12.9","12.7","0.46","3.6","0.46","3.6"
"USC00425182","LOGAN RADIO KVNU, UT US","41.735","-111.8564","1364.0","01-10","17.9","7.1","0.03","0.08","0.19","31.6","142","19","4","1.0","1.0","2.2","194","155","43","17","4",,,,,,,,"21.8","11.3","30.8","11.0","12.9","12.7","0.51","4.0","0.51","4.0"
"USC00425182","LOGAN RADIO KVNU, UT US","41.735","-111.8564","1364.0","01-11","17.8","7.1","0.03","0.08","0.19","31.5","142","19","4","1.0","1.0","2.2","194","154","43","17","4",,,,,,,,"21.8","11.3","30.7","11.0","12.9","12.7","0.56","4.4","0.56","4.4"
"USC00425182","LOGAN RADIO KVNU, UT US","41.735","-111.8564","1364.0","01-12","17.8","7.1","0.03","0.08","0.19","31.3","141","19","4","1.0","1.0","2.2","193","153","42","17","4",,,,,,,,"21.8","11.3","30.7","11.0","12.9","12.7","0.61","4.8","0.61","4.8"
"USC00425182","LOGAN RADIO KVNU, UT US","41.735","-111.8564","1364.0","01-13","17.8","7.1","0.03","0.08","0.19","31.2","140","18","4","1.0","1.0","2.2","192","152","42","17","4",,,,,,,,"21.7","11.3","30.7","11.0","12.8","12.7","0.66","5.2","0.66","5.2"
"USC00425182","LOGAN RADIO KVNU, UT US","41.735","-111.8564","1364.0","01-14","17.8","7.0","0.03","0.08","0.19","31.0","139","18","4","1.0","1.0","2.3","191","151","42","17","5",,,,,,,,"21.7","11.3","30.6","11.0","12.8","12.7","0.71","5.6","0.71","5.6"
"USC00425182","LOGAN RADIO KVNU, UT US","41.735","-111.8564","1364.0","01-15","17.8","7.0","0.03","0.08","0.18","31.0","139","18","4","1.0","1.0","2.3","191","150","43","18","5",,,,,,,,"21.7","11.4","30.6","11.0","12.8","12.8","0.75","6.1","0.75","6.1"
"USC00425182","LOGAN RADIO KVNU, UT US","41.735","-111.8564","1364.0","01-16","17.8","7.0","0.03","0.08","0.18","30.9","138","17","5","1.0","1.0","2.3","190","149","43","18","5",,,,,,,,"21.7","11.4","30.6","11.0","12.7","12.8","0.79","6.5","0.79","6.5"
"USC00425182","LOGAN RADIO KVNU, UT US","41.735","-111.8564","1364.0","01-17","17.8","7.0","0.03","0.08","0.18","30.8","138","17","5","1.0","1.0","2.3","188","148","43","18","5",,,,,,,,"21.6","11.4","30.6","11.0","12.7","12.9","0.84","7.0","0.84","7.0"
"USC00425182","LOGAN RADIO KVNU, UT US","41.735","-111.8564","1364.0","01-18","17.9","7.0","0.03","0.08","0.18","30.7","137","17","5","1.0","1.0","2.4","187","148","44","18","5",,,,,,,,"21.6","11.5","30.6","11.0","12.7","12.9","0.88","7.5","0.88","7.5"
"USC00425182","LOGAN RADIO KVNU, UT US","41.735","-111.8564","1364.0","01-19","17.9","6.9","0.03","0.08","0.18","30.7","137","17","5","1.0","1.0","2.4","186","147","44","18","5",,,,,,,,"21.6","11.5","30.6","11.0","12.7","13.0","0.92","7.9","0.92","7.9"
"USC00425182","LOGAN RADIO KVNU, UT US","41.735","-111.8564","1364.0","01-20","17.9","6.9","0.03","0.08","0.18","30.7","137","16","5","1.0","1.0","2.4","185","146","44","18","5",,,,,,,,"21.6","11.5","30.6","11.0","12.7","13.0","0.97","8.4","0.97","8.4"
"USC00425182","LOGAN RADIO KVNU, UT US","41.735","-111.8564","1364.0","01-21","17.9","6.9","0.03","0.08","0.18","30.7","137","16","5","1.0","1.0","2.5","183","145","45","19","5",,,,,,,,"21.6","11.6","30.6","11.1","12.6","13.1","1.01","8.9","1.01","8.9"
"USC00425182","LOGAN RADIO KVNU, UT US","41.735","-111.8564","1364.0","01-22","18.0","6.9","0.03","0.08","0.18","30.7","137","16","5","1.0","1.1","2.5","182","144","45","19","5",,,,,,,,"21.6","11.6","30.6","11.1","12.6","13.1","1.05","9.3","1.05","9.3"
"USC00425182","LOGAN RADIO KVNU, UT US","41.735","-111.8564","1364.0","01-23","18.0","6.9","0.03","0.08","0.18","30.8","137","15","5","1.0","1.1","2.5","180","143","46","19","5",,,,,,,,"21.6","11.6","30.6","11.1","12.6","13.1","1.09","9.8","1.09","9.8"
